         451807 function calls (419753 primitive calls) in 23.072 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   10.510   10.510   13.942   13.942 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
    31968    2.816    0.000    2.816    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        7    2.479    0.354    2.479    0.354 {method 'argsort' of 'numpy.ndarray' objects}
        1    2.207    2.207    2.207    2.207 {method 'get_labels_groupby' of 'pandas._libs.hashtable.Int64HashTable' objects}
        1    1.353    1.353    1.353    1.353 {pandas._libs.algos.groupsort_indexer}
        1    0.454    0.454    0.454    0.454 {pandas._libs.algos.take_2d_axis1_int64_int64}
        2    0.419    0.210    0.420    0.210 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:5017(_stack_arrays)
        1    0.407    0.407    0.407    0.407 {pandas._libs.algos.take_2d_axis0_float64_float64}
        7    0.253    0.036    0.253    0.036 {pandas._libs.algos.take_1d_int64_int64}
        1    0.230    0.230    0.230    0.230 {method 'put' of 'numpy.ndarray' objects}
        3    0.224    0.075    0.224    0.075 {method 'get_labels' of 'pandas._libs.hashtable.Int64HashTable' objects}
34891/2904    0.216    0.000    3.414    0.001 {method 'read' of '_io.BufferedReader' objects}
        1    0.207    0.207    0.273    0.273 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/sorting.py:20(get_group_index)
        5    0.169    0.034    0.169    0.034 {method 'take' of 'numpy.ndarray' objects}
    31970    0.134    0.000    3.371    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/_compression.py:66(readinto)
    31970    0.093    0.000    3.217    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/gzip.py:438(read)
        1    0.073    0.073    0.073    0.073 {pandas._libs.algos.take_2d_axis0_int64_int64}
        3    0.060    0.020    0.060    0.020 {built-in method numpy.core.multiarray.where}
        3    0.059    0.020    0.066    0.022 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/sorting.py:55(maybe_lift)
    31971    0.057    0.000    0.057    0.000 {built-in method zlib.crc32}
        1    0.054    0.054    7.332    7.332 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/sorting.py:189(lexsort_indexer)
        1    0.050    0.050   23.072   23.072 /Users/ianw89/Repos/cgm-brush/src/cgmbrush.py:351(extract_all_den_fields)
        1    0.049    0.049    6.836    6.836 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/sorting.py:177(indexer_from_factorized)
        1    0.048    0.048    0.048    0.048 {pandas._libs.algos.take_2d_axis1_float64_float64}
        1    0.045    0.045   23.022   23.022 /Users/ianw89/Repos/cgm-brush/src/cgmbrush.py:313(import_density_field)
        2    0.041    0.021    0.044    0.022 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexing.py:2441(maybe_convert_indices)
        3    0.038    0.013    0.038    0.013 {built-in method pandas._libs.algos.ensure_int16}
    31968    0.036    0.000    0.097    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/gzip.py:489(_add_read_data)
        1    0.033    0.033   14.401   14.401 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/io/parsers.py:414(_read)
        9    0.031    0.003    0.031    0.003 {built-in method numpy.core.multiarray.arange}
    31988    0.029    0.000    0.202    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/gzip.py:80(read)
        3    0.026    0.009    0.325    0.108 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/algorithms.py:576(factorize)
       22    0.025    0.001    0.025    0.001 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.019    0.019    5.162    5.162 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/sorting.py:348(compress_group_index)
        1    0.019    0.019    2.935    2.935 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/sorting.py:369(_reorder_by_uniques)
165698/165661    0.016    0.000    0.016    0.000 {built-in method builtins.len}
        4    0.015    0.004    0.015    0.004 {method 'copy' of 'numpy.ndarray' objects}
        2    0.013    0.007    0.013    0.007 {built-in method numpy.core.multiarray.putmask}
       11    0.012    0.001    1.249    0.114 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/algorithms.py:1548(take_nd)
    31970    0.012    0.000    0.012    0.000 {method 'cast' of 'memoryview' objects}
     2904    0.006    0.000    3.426    0.001 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/gzip.py:271(read)
     5609    0.006    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/gzip.py:93(prepend)
        1    0.005    0.005    8.442    8.442 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/frame.py:4393(sort_values)
     1025    0.004    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:811(is_integer_dtype)
     2904    0.004    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/_compression.py:12(_check_not_closed)
1241/1238    0.003    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1835(_get_dtype_type)
     2905    0.002    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/gzip.py:298(closed)
     2526    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       45    0.001    0.000    0.001    0.000 {built-in method posix.stat}
        4    0.001    0.000    0.996    0.249 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:1237(take_nd)
        2    0.001    0.000    1.226    0.613 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:4518(take)
     2250    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
        3    0.000    0.000    0.225    0.075 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/algorithms.py:449(_factorize_array)
        1    0.000    0.000    0.003    0.003 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/io/parsers.py:1685(__init__)
       45    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.zeros}
       68    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.array}
      132    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1527(is_float_dtype)
      264    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      139    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/base.py:61(is_dtype)
      9/8    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/base.py:255(__new__)
      307    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/generic.py:7(_check)
      225    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
       24    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.empty}
      225    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      475    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       42    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1688(is_extension_array_dtype)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        2    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
        3    0.000    0.000    0.364    0.121 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/arrays/categorical.py:267(__init__)
        7    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:257(maybe_promote)
        3    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:3363(_rebuild_blknos_and_blklocs)
       20    0.000    0.000    0.015    0.001 {method 'any' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:882(_find_spec)
        5    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/base.py:1569(is_unique)
     13/5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:978(_find_and_load)
       25    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:707(is_dtype)
      7/6    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/series.py:166(__init__)
      450    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      225    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/missing.py:189(_isna_ndarraylike)
      225    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
       54    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:513(is_categorical_dtype)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       12    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:116(__init__)
        7    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:5020(_asarray_compat)
       15    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000   23.072   23.072 <ipython-input-3-b1ee8be28213>:7(<module>)
        1    0.000    0.000    0.420    0.420 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:4880(form_blocks)
       62    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:369(is_datetime64tz_dtype)
        2    0.000    0.000    0.000    0.000 {pandas._libs.lib.clean_index_list}
       18    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/base.py:4914(_ensure_index)
       12    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:3191(make_block)
        1    0.000    0.000   14.401   14.401 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/io/parsers.py:542(parser_f)
        5    0.000    0.000    0.123    0.025 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/frame.py:2664(__getitem__)
        6    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/arrays/categorical.py:597(_get_codes)
       10    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/base.py:473(_simple_new)
        6    0.000    0.000    0.000    0.000 {pandas._libs.lib.infer_dtype}
        1    0.000    0.000    1.353    1.353 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/sorting.py:321(get_group_index_sorter)
       45    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
       45    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/numeric.py:433(asarray)
     13/5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
        3    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/algorithms.py:141(_reconstruct_data)
       18    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/generic.py:4378(__setattr__)
       31    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
       41    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:227(is_datetimetz)
       12    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:3307(shape)
       23    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1784(_get_dtype)
       11    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:3148(get_block_type)
       12    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:237(mgr_locs)
       25    0.000    0.000    0.015    0.001 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/base.py:672(values)
       20    0.000    0.000    0.015    0.001 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/_methods.py:42(_any)
      132    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/numeric.py:630(require)
        9    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/series.py:4019(_sanitize_array)
        6    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:298(validate_categories)
        9    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 {method 'to_array' of 'pandas._libs.hashtable.Int64Vector' objects}
       11    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/algorithms.py:1421(_get_take_nd_function)
        1    0.000    0.000    0.122    0.122 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:4431(_slice_take_blocks_ax0)
        2    0.000    0.000    0.420    0.210 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:4986(_multi_blockify)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       74    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:4137(iget)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexing.py:1225(_convert_to_indexer)
        1    0.000    0.000   13.942   13.942 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/io/parsers.py:1846(read)
        9    0.000    0.000    0.000    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
       34    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:477(is_interval_dtype)
        3    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1965(pandas_dtype)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        8    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/base.py:2033(__contains__)
        8    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:971(maybe_cast_to_datetime)
        9    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:278(validate_ordered)
       16    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/range.py:481(__len__)
        3    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:3488(_verify_integrity)
        7    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:401(__new__)
       13    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:584(is_dtype)
        6    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/common.py:301(_asarray_tuplesafe)
       10    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/generic.py:124(__init__)
        3    0.000    0.000    0.422    0.141 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/frame.py:334(__init__)
        2    0.000    0.000    0.185    0.092 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/base.py:2179(take)
       37    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/base.py:641(__len__)
        9    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:156(_finalize)
        5    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/numeric.py:35(__new__)
       18    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        9    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:867(maybe_infer_to_datetimelike)
        7    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:459(construct_from_string)
        6    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:4639(__init__)
